ID	Log2fc_(FLT)v(GC)	Stat_(FLT)v(GC)	P.value_(FLT)v(GC)	Adj.p.value_(FLT)v(GC)
AT1G02430	-1.245014248	-2.233395637	0.025522866	0.104864344
AT1G02440	-0.797263699	-1.319847164	0.186886051	0.398524654
AT1G02450	-0.693312822	-1.187433317	0.235056745	0.459666046
AT1G02460	0.433997247	1.133337378	0.257072601	0.484274823
AT1G02470	0.393764189	0.865486124	0.386772029	0.613879878
AT1G02475	0.914918281	2.672074518	0.007538391	0.043714022
AT1G02490	0.767505249	0.559767361	0.575638129	NA
AT1G02500	-0.223602721	-1.408344797	0.159028997	0.3605128
AT1G02510	-0.249361628	-0.376429302	0.706597765	NA
AT1G02520	-1.187694367	-1.932416664	0.053308099	0.175675301
AT1G02530	-0.846997304	-1.731674741	0.08333149	0.236918871
AT1G02540	-1.146296608	-0.8836488	0.376885827	NA
AT1G02550	-1.976538766	-1.930584557	0.053534449	NA
AT1G02560	0.863247351	4.301352535	1.69758731065011e-05	0.00042806
AT1G02570	-0.386946662	-0.993963261	0.320240754	0.551466049
AT1G02575	-0.667907765	-1.513367651	0.130186297	0.317481012
AT1G02580	-1.867135813	-8.273163533	1.30450579105145e-16	1.59733301204274e-13
AT1G02610	-0.640439436	-2.567467134	0.01024445	0.054664479
AT1G02620	0.423057526	1.624511429	0.104266703	0.274163699
AT1G02630	0.910439465	1.983884403	0.047268728	0.161637725
AT1G02640	0.475018521	2.318421939	0.020426401	0.089483533
AT1G02650	0.008822234	0.028419762	0.977327363	0.990734866
AT1G02660	-0.347055875	-1.135782928	0.256047424	0.483165164
AT1G02670	0.742107924	2.077419981	0.037762814	0.137849094
AT1G02680	-0.058142616	-0.344678262	0.730336262	0.859403831
AT1G02690	-0.443178404	-2.370386783	0.017769485	0.081063538
AT1G02700	0.269894598	0.253444723	0.799924571	0.898457143
AT1G02705	0.112868402	0.280186215	0.779334642	0.886959224
AT1G02710	0.692650342	1.33958318	0.180380895	0.39019633
AT1G02720	0.326821645	2.305393272	0.021144558	0.091897654
AT1G02730	0.093006451	0.457230586	0.647505317	0.80944906
AT1G02740	0.032995511	0.206116103	0.836700221	0.918762951
AT1G02750	-0.153998843	-0.791231615	0.428808846	0.648077928
AT1G02770	-0.125376087	-0.379720749	0.704152716	0.843873329
AT1G02780	0.217946665	1.135996902	0.255957861	0.483035337
AT1G02790	-0.527987936	-0.420826474	0.673881799	NA
AT1G02800	1.835393525	5.322969377	1.02086936014823e-07	7.11093582749959e-06
AT1G02810	-0.267237215	-1.134382147	0.256634284	0.483880106
AT1G02813	-1.674532062	-1.351989267	0.176378749	NA
AT1G02816	0.480138727	2.977386606	0.002907172	0.021595627
AT1G02820	1.241379326	2.901184374	0.003717551	0.025985901
AT1G02830	-2.633591917	-1.173040111	0.240779721	NA
AT1G02840	-0.474123098	-2.27445236	0.022938802	0.097172476
AT1G02850	0.09930271	0.23514895	0.814093127	0.90612748
AT1G02860	-1.093596727	-4.333267197	1.46912623632469e-05	0.000380615
AT1G02870	-0.060508803	-0.231741036	0.816739157	0.907856497
AT1G02880	0.195983691	0.72112788	0.470830839	0.681126693
AT1G02890	-0.411326244	-2.009368951	0.04449802	0.154791634
AT1G02900	-0.499560276	-1.750221696	0.080080066	0.230776528
AT1G02910	0.274238755	2.17722401	0.029463858	0.116261304
AT1G02920	-0.707199593	-0.612680234	NA	NA
AT1G02930	-0.434956768	-0.324260172	0.74574107	0.867960678
AT1G02940	0.400081243	0.318475911	0.750123965	NA
AT1G02950	-1.282255835	-3.016697326	0.002555448	0.019693505
AT1G02960	0.047999628	0.240213738	0.810164564	0.903960413
AT1G02970	0.505935094	2.085604473	0.037014466	0.135955407
AT1G02980	-0.317926397	-0.455234818	0.648940314	0.809959293
AT1G02990	-0.146884485	-1.247358687	0.212266008	0.431997038
AT1G03000	0.089852501	0.584543852	0.558854471	0.74829073
AT1G03010	-1.955299044	-4.860544885	1.17063097286796e-06	5.2882970065579e-05
AT1G03020	-0.967922009	-0.467844991	0.639895444	NA
AT1G03030	0.194281822	1.238713283	0.215451698	0.436186126
AT1G03040	-0.17921669	-1.202767631	0.229066254	0.453462232
AT1G03050	-0.737454069	-0.999397356	0.31760224	0.548300293
AT1G03055	-0.788599498	-0.821917504	0.41112385	NA
AT1G03060	-0.086419296	-0.467159698	0.640385625	0.804893116
AT1G03070	-0.320685087	-0.674584294	0.499939914	0.703229683
AT1G03080	-0.430012236	-2.73356185	0.006265335	0.038408954
AT1G03090	-1.507180098	-10.35206809	4.09542168359237e-25	4.0690399550142e-21
AT1G03100	-0.512016464	-2.043559444	0.040997089	0.145996828
AT1G03103	-1.008412536	-0.821760784	0.411213057	NA
AT1G03106	0.3730261	0.377573357	0.70574756	0.84487069
AT1G03110	0.379795471	1.64844802	0.099260769	0.265650033
AT1G03120	0.363226082	0.661174264	0.508500564	0.709759157
AT1G03130	0.151174408	0.340023118	0.733839118	0.861333467
AT1G03140	-0.574649286	-2.795298023	0.005185189	0.033472093
AT1G03150	0.216682808	1.001471573	0.316598877	0.547348805
AT1G03160	0.548422939	3.500600435	0.000464211	0.005479389
AT1G03165	1.753015167	1.297747163	0.194374231	NA
AT1G03170	0.356446041	1.183069792	0.236781489	0.461947282
AT1G03180	0.35546993	1.175513727	0.239789249	0.465123968
AT1G03190	0.034458612	0.174971483	0.861102041	0.931359321
AT1G03200	-0.269657282	-0.864912025	0.387087077	0.613919207
AT1G03210	-0.504734374	-2.009732227	0.044459537	0.15472717
AT1G03220	-0.754307012	-1.361159033	0.173463437	0.379823705
AT1G03230	0.180603992	0.439506612	0.660294492	0.817051951
AT1G03240	0.731645323	0.694250759	0.487524965	NA
AT1G03250	0.276526539	1.571285435	0.116116363	0.294384483
AT1G03260	0.192234446	1.380580136	0.167408094	0.371494593
AT1G03270	0.297018983	0.750373862	0.453029568	0.667525131
AT1G03280	-0.251085554	-2.091307087	0.036500545	0.134714325
AT1G03290	-0.755268493	-4.100637574	4.12013407155657e-05	0.000869827
AT1G03300	7.192414916	3.745393375	0.000180111	0.002689532
AT1G03310	1.103296336	4.630726573	3.64384802419553e-06	0.000128836
AT1G03320	0.34141635	0.982265623	0.325969006	0.55688566
AT1G03330	0.312775243	1.625281178	0.10410266	0.273898424
AT1G03340	-0.235016552	-0.835691817	0.4033283	0.628663601
AT1G03350	-0.215350655	-1.827421924	0.067636355	0.206720942
AT1G03360	0.025994905	0.090360544	0.928000709	0.967898167
AT1G03365	-0.054016853	-0.28782199	0.773483003	0.883844896
AT1G03370	-0.374314001	-1.278281062	0.201150343	0.417233284
AT1G03380	-0.706505264	-4.699605593	2.6066441770627e-06	9.93699297370901e-05
AT1G03390	-0.24849846	-0.636610765	0.524378411	0.722551748
AT1G03400	-0.783501785	-2.155559883	0.031118048	0.120279346
AT1G03410	0.15047093	0.312597744	0.754586292	0.873121711
AT1G03430	-0.02065746	-0.114309665	0.908992321	0.958210528
AT1G03440	-0.041993637	-0.228848785	0.818986448	0.909258
AT1G03445	0.031013165	0.050616102	0.959631432	0.98317004
AT1G03457	-0.129061495	-0.595678501	0.551390023	0.743141883
AT1G03470	-0.465517623	-2.213634958	0.026853901	0.108758628
AT1G03475	0.729153251	6.040260399	1.5386570849853e-09	2.40247362967671e-07
AT1G03490	0.472540541	0.283399363	0.776870717	NA
AT1G03495	-0.526509989	-1.892386329	0.058439526	0.186684232
AT1G03510	0.312645927	1.486771993	0.137075041	0.327729991
AT1G03520	0.102181728	0.481659909	0.63004756	0.796806724
AT1G03530	-0.606426712	-2.339552868	0.019306839	0.085982696
AT1G03540	-0.084617623	-0.391028887	0.695775883	0.838716369
AT1G03545	0.122310248	0.447007537	0.654869618	0.813915781
AT1G03550	-0.110989498	-0.612251096	0.54037164	0.73430839
AT1G03560	0.40606726	2.442825399	0.014572786	0.070692972
AT1G03590	0.065297174	0.418718524	0.675421856	0.825848384
AT1G03600	0.138564062	0.628626865	0.529593368	0.726816288
AT1G03610	-1.173177466	-3.007703712	0.002632296	0.020118389
AT1G03620	-1.015320705	-3.564967255	0.000363902	0.004578784
AT1G03630	1.300900757	4.204051116	2.62179688467513e-05	0.000610679
AT1G03650	-0.064764595	-0.225628441	0.821490418	0.9106751
AT1G03660	-0.725612064	-2.039639141	0.041386281	0.147022724
AT1G03670	-0.75387339	-0.598728274	0.549354099	NA
AT1G03680	0.774800002	4.287257207	1.80892799263199e-05	0.000451553
AT1G03687	0.282255862	1.386483831	0.165599214	0.369276882
AT1G03700	-2.521545498	-2.613124966	0.008971849	0.049554558
AT1G03710	-0.649287201	-0.647572253	0.517261648	NA
AT1G03720	-3.506196048	-1.716955007	0.085987393	NA
AT1G03730	-0.285633796	-1.239641747	0.215107932	0.435779001
AT1G03740	-0.649359195	-1.688468079	0.091321412	0.250837384
AT1G03750	-0.352663844	-2.086031025	0.036975813	0.13587779
AT1G03760	-0.375252986	-1.348180704	0.177600269	0.386223422
AT1G03770	-0.120658303	-0.469655983	0.638600821	0.803602238
AT1G03780	-0.387743453	-1.719293714	0.085560904	0.241106399
AT1G03790	-0.022025152	-0.040299016	0.967854738	0.986944575
AT1G03800	0.157948232	0.636094901	0.524714569	0.722806823
AT1G03820	0.363602994	0.924994971	0.354968524	0.584702825
AT1G03830	0.057290044	0.231436166	0.816975972	0.907859476
AT1G03840	-1.373548696	-5.113077462	3.16952248245187e-07	1.78113382981263e-05
